activity_id,lap_index,name,elapsed_time_s,moving_time_s,distance_km,average_speed_kmh,max_speed_kmh,average_heartrate,max_heartrate,average_watts,average_cadence,total_elevation_gain_m,start_date_local
15650998179,1,Lap 1,535,524,1.609,11.05,13.03,145.6,157.0,263.8,83.0,0.0,2025-08-31 07:39:11
15650998179,2,Lap 2,529,529,1.609,10.94,13.68,158.5,164.0,275.4,84.2,7.2,2025-08-31 07:48:08
15650998179,3,Lap 3,569,555,1.609,10.44,13.46,159.2,168.0,258.1,84.5,27.2,2025-08-31 07:56:58
15650998179,4,Lap 4,512,512,1.609,11.3,14.98,164.0,171.0,277.7,85.2,5.6,2025-08-31 08:06:28
15650998179,5,Lap 5,587,561,1.609,10.33,13.68,164.1,169.0,256.7,84.8,18.6,2025-08-31 08:15:00
15650998179,6,Lap 6,604,532,1.609,10.91,17.42,165.8,176.0,287.9,85.9,21.8,2025-08-31 08:24:47
15650998179,7,Lap 7,612,580,1.609,9.97,14.26,169.1,175.0,269.6,84.3,34.2,2025-08-31 08:34:51
15650998179,8,Lap 8,705,573,1.609,10.12,14.04,172.1,179.0,272.7,85.4,22.6,2025-08-31 08:45:04
15650998179,9,Lap 9,575,575,1.609,10.08,13.18,173.5,177.0,267.4,84.5,14.4,2025-08-31 08:56:49
15650998179,10,Lap 10,63,63,0.182,10.4,14.33,173.9,176.0,314.2,86.4,8.4,2025-08-31 09:06:24
